title,location,description,date
Explore Inks Lake,Inks Lake,"
  Check out one of the state’s best resources – state parks. These spots come from staff recommendations and any outdoors enthusiast has on their list of places to visit in the state. We will camp comfortably and explore all the park has to offer.


  Price:$136* / $163**


  Register by:Tuesday, Sept. 24
",September 29
Explore Inks Lake,Inks Lake,"
  Check out one of the state’s best resources – state parks. These spots come from staff recommendations and any outdoors enthusiast has on their list of places to visit in the state. We will camp comfortably and explore all the park has to offer.


  Price:$136* / $163**


  Register by:Tuesday, Sept. 24
",September 29
Free Tutoring,College Hills Baptist Church 712 Churchill Street College Station Texas 77840,,September 29
Inaugural Engineering Art Competition,Zachry Engineering Education Complex,"
  Engineering Art Competition
  Theme: Aggie Engineering: Forging the Future!
  August 19, 2024 - October 4, 2024
  We are excited to host our inaugural art contest exclusively for engineering students! This is your chance to showcase your creativity alongside your technical skills.
",September 29
Men’s Waterpolo - Rice Tournament,"Houston, TX, USA",,September 29
Pattern Recognition,Forsyth Galleries,"
  Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.
",September 29
Pattern Recognition,Forsyth Galleries,Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.,September 29
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",September 29
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",September 29
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",September 29
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",September 29
Texas Family Support Group,Online Virtual Meeting for all of Texas,,September 29
Thrifted Religion,"J. Wayne Stark Galleries, Education Gallery","
  “Thrifted Religion” invites viewers to explore the breadth of spiritual traditions found in Aggieland and East Texas through the common and unique religious objects found at local secondhand shops.
",September 29
Thrifted Religion,"J. Wayne Stark Galleries, Education Gallery","
  “Thrifted Religion” invites viewers to explore the breadth of spiritual traditions found in Aggieland and East Texas through the common and unique religious objects found at local secondhand shops.
",September 29
Transit Fall Service,Memorial Student Center,"
  Weekday Service Hours &#160;7:00 AM - Midnight
  Weekend Service Hours &#160;9:00 AM - 6:00 PM
",September 29
Trap &amp; Skeet - Aggie Shootout,"Houston, TX, USA",,September 29
Virtual Walk Challenge,,"
  Walk Through Texas History during our 4-week virtual walk challenge.
",September 29
Water Ski - SCR Regionals,"Katy, TX, USA",,September 29
State Employee Charitable Campaign,Across campus,"The State Employee Charitable Campaign (SECC) is an opportunity for state employees to donate to charities through payroll deductions.&#160; Between Sept. 1 and Oct 31, employees can designate dollars as a one-time gift or monthly to 24 local charities and more than 1,000 nationally.&#160;&#160;",September 29
Crew - Steerhead Regatta,"Fort Worth, TX, USA",,September 29
Women’s Soccer - vs Texas Tech,"Penberthy Field 10, Penberthy Blvd, College Station, TX 77840, USA",,September 29
Women’s Soccer - vs Texas Tech,"Penberthy Field 10, Penberthy Blvd, College Station, TX 77840, USA",,September 29
Sailing - Troy Swetnam,"Galveston, TX, USA",,September 29
Polo - TAMU Men vs Texas Tech,"Brookshire, TX 77423, USA",,September 29
Southside Rec Center Hours,,,September 29
Student Rec Center Hours,,,September 29
Lap Pool,,,September 29
RC Open,,,September 29
Outdoor Pool,,,September 29
Operating Hours,,,September 29
ICF Open,,,September 29
Texas A&amp;M University Volleyball vs Missouri,"Bryan-College Station, Reed Arena",,September 29
Texas A&amp;M University Volleyball vs Missouri,"Bryan-College Station, Reed Arena",,September 29
50 Meter,,,September 29
University Orchestras in Concert,Rudder Auditorium,"
  University Philharmonic Orchestra and Chamber Orchestra in concert, conducted by Dr. James Van Zandt.
",September 29
University Orchestras in Concert,Rudder Auditorium,"
  University Philharmonic Orchestra and Chamber Orchestra in concert, conducted by Dr. James Van Zandt.
",September 29
Penberthy North Hours,,,September 29
Penberthy South Hours,,,September 29
Omar Smith Tennis Center Hours,,,September 29
UGST 181 Library Visit (Clark),"Annex 405A , Library Annex",,September 29
Lap Pool,,,September 29
PEAP Hours,,,September 29
Soulful Sunday: Finding Your Community,Memorial Student Center,,September 29
Soulful Sunday: Finding Your Community,MSC 2406A,,September 29
Soulful Sunday: Finding Your Community,Memorial Student Center,,September 29
Texas A&amp;M University Soccer at Texas,"Austin, Texas, Mike A. Myers Stadium",,September 29
Texas A&amp;M University Soccer at Texas,"Austin, Texas, Mike A. Myers Stadium",,September 29
Always a Bridesmaid,Unity Theatre,,September 30
End Date for School of Dentistry Certificate Programs,,,September 30
Free Tutoring,College Hills Baptist Church 712 Churchill Street College Station Texas 77840,,September 30
Inaugural Engineering Art Competition,Zachry Engineering Education Complex,"
  Engineering Art Competition
  Theme: Aggie Engineering: Forging the Future!
  August 19, 2024 - October 4, 2024
  We are excited to host our inaugural art contest exclusively for engineering students! This is your chance to showcase your creativity alongside your technical skills.
",September 30
ISSS Processing Day,,,September 30
Pattern Recognition,Forsyth Galleries,"
  Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.
",September 30
Pattern Recognition,Forsyth Galleries,Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.,September 30
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",September 30
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",September 30
"Shawn Smith, “Dissonant Data”",Langford Architecture Center Building A,,September 30
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",September 30
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",September 30
Texas A&amp;M University Men’s Golf at Ben Hogan Collegiate Invitational,"Fort Worth, Texas, Colonial CC",,September 30
Texas A&amp;M University Men’s Golf at Ben Hogan Collegiate Invitational,"Fort Worth, Texas, Colonial CC",,September 30
Texas Family Support Group,Online Virtual Meeting for all of Texas,,September 30
Transit Fall Service,Memorial Student Center,"
  Weekday Service Hours &#160;7:00 AM - Midnight
  Weekend Service Hours &#160;9:00 AM - 6:00 PM
",September 30
Undergraduate Degree Plan Approval Deadline,,"
  Undergraduate degree plan approval deadline. See Student Rule 1.9.
",September 30
Undergraduate Degree Plan Approval Deadline,,"
  Undergraduate degree plan approval deadline. See Student Rule 1.9.
",September 30
Virtual Walk Challenge,,"
  Walk Through Texas History during our 4-week virtual walk challenge.
",September 30
State Employee Charitable Campaign,Across campus,"The State Employee Charitable Campaign (SECC) is an opportunity for state employees to donate to charities through payroll deductions.&#160; Between Sept. 1 and Oct 31, employees can designate dollars as a one-time gift or monthly to 24 local charities and more than 1,000 nationally.&#160;&#160;",September 30
Southside Rec Center Hours,,,September 30
Student Rec Center Hours,,,September 30
Lap Pool,,,September 30
Polo Road Hours,,,September 30
Operating Hours,,,September 30
CANCELED: Community Coaching (Monday),Hullabaloo,"
  Life in college can be challenging, especially when it comes to taking care of your wellbeing. Our new Community Coaching series is designed to connect you with other college students and equip you with skills that will empower you to be the best version of yourself. Weekly sessions will be lead by certified Health and Wellness coach, Konner Carnahan. We will chat about topics from mental health, physical wellbeing, finding meaningful connections here on campus, and more. All of these things are FREE to our students. Hope to see you there!
",September 30
ASCC 004,"Evans 105: Whitley Suite, Evans Library",,September 30
ASCC 001,"Evans 202A, Evans Library",,September 30
Microteaching Practice,Zoom,"
  Register Here: https://ers.tamu.edu/event/8325
  
  Facilitators:&#160;Ginessa Payne, Center for Teaching Excellence. Session on November 25th will be led by Michele Vick.


  Description: This workshop helps participants enhance their teaching and public speaking skills through microteaching demonstrations delivered in a low-risk environment. Each participant delivers a 5-minute presentation, receiving constructive feedback from a consultant and an undergraduate student on pronunciation, presentation structure, visual aids, nonverbal communication and more. By presenting in front of a friendly audience, participants develop confidence, and by observing peers’ presentations, they gain additional insight into best practices for comprehensible and well-developed presentations.


  Learning Outcomes: Participants will be able to:


  1. Construct and deliver short, well-structured and intelligible presentations


  2. Create a visual aid to support key points


  3. Identify areas for improvement in their own presentations and those of their peers
",September 30
"OCEN Tutoring (Departmental, multiple courses)","115, Galveston",,September 30
mRNA-Encoded Anti-VapA Monoclonal IgG1 for Passive Immunization of Foals Against Rhodococcus equi,LATH,"
  Dissertation Defense - Rebecca Legere
",September 30
50 Meter,,,September 30
ASCC 002,"Evans 204B , Evans Library",,September 30
Conversation Circle,Zoom,"
  Register Here: https://ers.tamu.edu/event/7534
  
  Facilitators: Jenna Wright, CTE-ELP Student Worker


  Description: Conversation Circle is a supportive space for practicing spoken English through group discussions on cultural topics, including American university culture. Participants improve spontaneous speaking, active listening, and conversational turn-taking. Through communication with speakers from a variety backgrounds, they acclimate to different accents. The sessions promote social connections, intercultural dialogue, and a sense of belonging. The goal is to enhance English fluency, comprehension, and confidence.


  Learning Outcomes: Participants will be able to:


  1. Employ effective spontaneous communication skills in social, academic and professional settings


  2. Elaborate on their viewpoints and opinions in group discussions


  3. Construct clear and well-structured responses during impromptu conversations


  4. Apply appropriate turn-taking and active listening techniques in casual group discussions and more formal academic discussions
",September 30
BCDC Event Coordination Board,"RIC, Room 317",,September 30
ENGL 203 Library Visit (Heneks),"Annex 405A , Library Annex",,September 30
Pumpkin Spice and Degree Planning with ETID Advisors,Zachry Engineering Education Complex,"
  Attention all ETID students! Bring your laptop and enjoy pumpkin spice while degree planning with your ETID advisors. The presentation will begin on the hour.
",September 30
"Matthew Lakin, University of New Mexico","Chemistry Building, Room 2104","
  Biological Division Seminar
",September 30
Graduate Students A Smarter Job Search: Using HireAggies Job and Networking Resources,,"
  Online Event:&#160;tx.ag/Smart24
",September 30
Graduate Students A Smarter Job Search: Using HireAggies Job and Networking Resources,,"
  Hybrid event: Both in-person (Nagle Hall) and online at tx.ag/Smart24
",September 30
MS-HRM Flex Online Information Session,Online/ Virtual,"
  
    RSVP to MS-HRM Flex Online Information Session
  
  
",September 30
Hepatitis E Virus: An Emerging and Zoonotic Infection Beyond the Liver,VENI,"
  Seminar Series
  Department of Veterinary Pathobiology
  School of Veterinary Medicine &amp; Biomedical Sciences
",September 30
Intramural Sports - Registration Opens,"Ultimate, Tennis, Super Smash Bros. Ultimate, Regional Flag Football Qualifier Tournament","Registration Opens for:

  Ultimate,Tennis,Super Smash Bros. Ultimate,Regional Flag Football Qualifier Tournament
",September 30
RC Open,,,September 30
Intramural Sports - Registration Opens,"Ultimate, Tennis, Super Smash Bros. Ultimate, Regional Flag Football Qualifier Tournament","Registration Opens for:


  Ultimate,Tennis,Super Smash Bros. Ultimate,Regional Flag Football Qualifier Tournament
",September 30
Intramural Sports - Registration Opens,"Ultimate, Tennis, Super Smash Bros. Ultimate, Regional Flag Football Qualifier Tournament","Registration Opens for:


  Ultimate,Tennis,Super Smash Bros. Ultimate,Regional Flag Football Qualifier Tournament
",September 30
Outdoor Pool,,,September 30
ASCC Tutoring,"Evans 105: Whitley Suite, Evans Library",,September 30
AGLS Drop-In Advising,,"
  Drop-In Advising: Virtual 1:30 PM - 4:00 PM tx.ag/CCdropin
",September 30
What if String Theory has a de Sitter Excited State?,Mitchell Institute for Fundamental Physics &amp; Astronomy,"
  Speaker: Keshav Dasgupta (McGill University)
",September 30
Visas and Ventures: Vital Steps for International Public Health Practitioners-in-Training,Virtual Presentation - Zoom,"
  Join Zoom Meeting:
  https://tamu.zoom.us/j/99264417992?pwd=L2BMOEKSP5MsTCnQJYoaE6tYbn1UpC.1
  
  Meeting ID: 992 6441 7992
  Passcode: 260499
",September 30
Pumpkin Spice and Degree Planning with ETID Advisors,Zachry Engineering Education Complex,"
  Attention all ETID students! Bring your laptop and enjoy pumpkin spice while degree planning with your ETID advisors. Presentations will begin every hour.
",September 30
Math Learning Center Tutoring,"Evans 204E, Evans Library",,September 30
Lap Pool,,,September 30
Let’s Talk,"Evans 204F (embedded UHS counselor office), Evans Library",,September 30
Movie Monday: Clueless,Student Services Building,"
  Do you have some free time between classes? Stop by the Student Life Center lounge for our free Movie Mondays! Enjoy an array of films provided by MSC Aggie Cinema.&#160;
  
  Featured Movie: Clueless
",September 30
“Scattering CJ” Movie Screening,Higher Education Center at McAllen,"
  Help break the stigma surrounding mental health.
",September 30
Movie Monday: Clueless,Student Services Building,"
  Do you have some free time between classes? Stop by the Student Life Center lounge for our free Movie Mondays! Enjoy an array of films provided by MSC Aggie Cinema.&#160;
  
  Featured Movie: Clueless
",September 30
Movie Monday: Clueless,Student Services Building,"
  Do you have some free time between classes? Stop by the Student Life Center lounge for our free Movie Mondays! Enjoy an array of films provided by MSC Aggie Cinema.&#160;
  
  Featured Movie: Clueless
",September 30
ICF Open,,,September 30
Toxicology Seminar Series | Dr. Shasank Dravid,VENI,,September 30
EEB Fall 2024 Seminar Series - David Bapst,Horticulture/Forest Science Building,"David Bapst
Texas A&amp;M University, GEOL

Title: TBA

Host: EEB Core Faculty

Refreshments served at 3:30.&#160; For questions, email EEB Program Coordinator Heather Baldi.",September 30
AERO - Special Seminar: High-enthalpy aerodynamic and supersonic combustion experiments at the Centre,Bright Building,"
  Dr. Anand Veeraragavan
  Co-Director Centre of Hypersonics, Professor


  School of Mechanical and Mining Engineering,&#160;
  University of Queensland
",September 30
Barry Goldwater Scholarship Information,Zoom,"
  Facilitators: Dr. Michael Johnson and Janet Gonzales, and Gisele Cardoso de Lemos&#160;


  Description: The Goldwater Scholarship is a prestigious award of up to $7,500/year to juniors and seniors in STEM fields with demonstrated research accomplishments planning to pursue a career in research. Candidates should be current sophomores or juniors. Candidates must be US Citizens or permanent residents intending to go to graduate school
  (students planning to attend Medical or Veterinary school with intention to practice are not eligible). The campus deadline is 11:59PM on Friday, November 1st. The Program deadline is at 5PM Central on Friday, January 31st. There is an internal selection committee, as only four nominees may go forward. Candidates should have a GPR of at least 3.7 and have documented evidence of research productivity (co-authored papers, posters, presentations, awards, etc). Goldwater awardees must be in fields supported by the National Science Foundation.


  Learning Outcomes:


  Learn more about the Goldwater Scholarship.
  
  Register Here: https://ers.tamu.edu/register.aspx?scheduleid=43398&#160;
",September 30
My First... How to Gain Experience,Virtual,"
  tx.ag/FirstExperienceSept30
  
  https://tamu.zoom.us/meeting/register/tJArfuiurToqE9IhCcagSRdKaBknuJZCz8Io
",September 30
My First... How to Gain Experience,Virtual,"
  tx.ag/FirstExperienceSept30
  
  https://tamu.zoom.us/meeting/register/tJArfuiurToqE9IhCcagSRdKaBknuJZCz8Io
",September 30
My First... How to Gain Experience,Virtual,"
  tx.ag/FirstExperienceSept30
  
  https://tamu.zoom.us/meeting/register/tJArfuiurToqE9IhCcagSRdKaBknuJZCz8Io
",September 30
MSEN 681 Seminar: Stabilized Polymer Coacervates: Formation and Properties,Reed-McDonald Building,"
  Dr. Alamgir Karim
  Department of Chemical and Biomolecular Engineering
  University of Houston, TX
",September 30
Penberthy South Hours,,,September 30
Penberthy North Hours,,,September 30
PEAP Hours,,,September 30
Migration and Development Linkages in Latin America,Annenberg Presidential Conference Center,"
  Check-in at 5 p.m. CT
  Lecture from 5:30 to 6:30 p.m. CT


  
  The Scowcroft Institute of International Affairs at the Bush School of Government &amp; Public Service at Texas A&amp;M University invites you to join Elisa Zogbi, Director for South American Affairs and Principal Officer for Venezuela within the US Agency for International Development (USAID)’s Latin America and Caribbean Bureau, as she discusses “Migration and Development Linkages in Latin America” on Monday, September 30, 2024, at 5:30 PM CT at the Annenberg Presidential Conference Center.
  
  Please RSVP here
",September 30
50 Meter,,,September 30
Omar Smith Tennis Center Hours,,,September 30
NRHH General Meeting,Hullabaloo Residence Hall 117B,,September 30
UGST 181 Library Visit (Clark),"Annex 405 , Annex 405A , Annex 405B, Library Annex",,September 30
Always a Bridesmaid,Unity Theatre,,October 1
Campus Sustainability Month Begins,,"Texas A&amp;M University will host its 16th Annual Campus Sustainability Month (CSM) celebration throughout the month of October with in-person events, virtual events, presentations from Office of Sustainability &amp; Campus Enrichment interns and more.",October 1
Education Abroad Proposal Deadline,,"
  Submission deadline for Fall Faculty-led programs.
",October 1
Employee Wellness Fair,,"
  Living Well is hosting an Employee Wellness Fair. You can register for a variety of events.
",October 1
Free Tutoring,College Hills Baptist Church 712 Churchill Street College Station Texas 77840,,October 1
Inaugural Engineering Art Competition,Zachry Engineering Education Complex,"
  Engineering Art Competition
  Theme: Aggie Engineering: Forging the Future!
  August 19, 2024 - October 4, 2024
  We are excited to host our inaugural art contest exclusively for engineering students! This is your chance to showcase your creativity alongside your technical skills.
",October 1
Major Grant Abstracts Open,,,October 1
Pattern Recognition,Forsyth Galleries,"
  Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.
",October 1
Pattern Recognition,Forsyth Galleries,Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.,October 1
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",October 1
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",October 1
RC Closed,,,October 1
"Shawn Smith, “Dissonant Data”",Langford Architecture Center Building A,,October 1
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",October 1
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",October 1
Texas Family Support Group,Online Virtual Meeting for all of Texas,,October 1
Transit Fall Service,Memorial Student Center,"
  Weekday Service Hours &#160;7:00 AM - Midnight
  Weekend Service Hours &#160;9:00 AM - 6:00 PM
",October 1
State Employee Charitable Campaign,Across campus,"The State Employee Charitable Campaign (SECC) is an opportunity for state employees to donate to charities through payroll deductions.&#160; Between Sept. 1 and Oct 31, employees can designate dollars as a one-time gift or monthly to 24 local charities and more than 1,000 nationally.&#160;&#160;",October 1
Student Rec Center Hours,,,October 1
Southside Rec Center Hours,,,October 1
Lap Pool,,,October 1
Polo Road Hours,,,October 1
Operating Hours,,,October 1
Fundamentals of Electric Transmission System Planning Three-Day Short Course,,"
  This short course is designed to provide a comprehensive coverage of the fundamentals of the planning of high voltage electric power systems.&#160;
  
  Register here!
",October 1
ASCC 003,"Evans 105: Whitley Suite, Evans Library",,October 1
ASCC 001,"Evans 202A, Evans Library",,October 1
2024 School IPM Coordinator Training: San Angelo,"San Angelo ISD Administration Building, 1621 University Ave., San Angelo","
  The Texas A&amp;M AgriLife Extension Service has announced the schedule of integrated pest management, IPM, trainings for school district coordinators for 2024.
",October 1
Master Marketer - Building a Marketing Program,El Campo Civic Center,,October 1
Grammar in Instructions: Exploring the Impact of Articles (a/an/the) and Plurals on Clarity and Comprehensibility,Zoom,"
  Register Here: https://ers.tamu.edu/register.aspx?scheduleid=42988
  
  Facilitators: Michele Vick, Center for Teaching Excellence


  Description: Grammatical errors can hinder successful spoken communication. Speakers can communicate with more clarity and specificity when they correctly use articles (a, an, the) and plurals, thus avoiding confusion. In this workshop, attendees will review and practice using articles and plurals in the context of providing a clear teaching demonstration on a topic in their field of study. An optional assignment for extended practice will be available on Canvas.


  Learning Outcomes: Participants will be able to: 1. Identify situations or contexts within their teaching domains where the correct usage of articles and plurals is crucial for avoiding ambiguity 2. Provide clear and unambiguous instructions, explanations, or demonstrations on topics within their field of expertise by appropriately employing articles and plural forms
",October 1
50 Meter,,,October 1
TAMU IRB Training,Rudder Tower,"
  The CEHD REO Office is pleased to host Dr. Denise Puga from the TAMU IRB Office who will be presenting on best practices for submitting IRB applications for review and how to efficiently use and navigate the Huron submission system.
  
  Light refreshments will be provided to those attending in person.&#160;
",October 1
Leading Others Informational Session,,,October 1
TAMU Army Fellows Tour,"RIC, Various",,October 1
Pumpkin Spice and Degree Planning with ETID Advsors,Zachry Engineering Education Complex,"
  Attention all ETID students! Bring your laptop and enjoy pumpkin spice while degree planning with your ETID advisors. The presentation will begin on the hour.
",October 1
CLGV 001 (Stewart),"121A, Galveston",,October 1
"Hua Guo, University of New Mexico","Chemistry Building, Room 2104",Physical Division Seminar,October 1
Spooky Slime,"6200 Tres Lagos Blvd. McAllen, TX 78504","
  Kick off spooky season by making your very own creepy, gooey slime! Join us on October 1st from 11:30 AM - 1:30 PM in the Main Lobby for a fun-filled event where you can get creative and craft the perfect spooky slime.
",October 1
ELPE Overview,Zoom,"
  Register Here: https://ers.tamu.edu/event/6549
  
  Facilitators: Ginessa Payne, Center for Teaching Excellence


  Description: This session provides a brief overview of Testing Services’ English Language Proficiency Exam (ELPE), including information about the test format and scoring. It also offers some tips for success, information about additional professional development events, and an opportunity to ask any questions that attendees may have.


  Learning Outcomes: Participants will be able to:


  1. Distinguish the three TAMU offices related to English Language Proficiency


  2. Identify strengths and weaknesses in a teaching demonstration
",October 1
Exploring Motivation and Personal Accountability of Today’s Student,Zoom,"
  Facilitators: Dr. Constance Langellier, University Health Services
  Dr. Ra’sheedah Richardson, Center for Teaching Excellence


  Description: This interactive workshop will discuss the current struggles faced by students, contextualized within the developmental impacts of the pandemic. Participants will examine challenges related to accountability and motivation in today’s student population. A variety of strategies, ranging in complexity, will be explored to foster personal accountability and enhance motivation. These strategies will be applicable across different class sizes, from large to small, and include both in-class and out-of-class options.


  Learning Outcomes:


  Participants will be able to:


  Share challenges associated with teaching in today’s classroom environment.
  
  Discuss the potential impact of the pandemic on the developmental process of students.
  
  Explore instructional strategies to increase motivation and accountability
  
Register Here: https://ers.tamu.edu/register.aspx?scheduleid=43393",October 1
Outdoor Pool,,,October 1
CIRTL Network: The College Classroom,zoom,"
  Get an introduction to key learning principles and the basics of effective, evidence-based teaching practices in this 12-week course about teaching in the college classroom. This course will focus on developing inclusive, learner-centered approaches to teaching. Participants will explore the interconnectedness of learning objectives, assessment, and learning activities through both discussions of course materials and developing and practicing their own lesson plan.&#160;
  
  REGISTRATION
  This course has a cap of 100 students. Registration opens on Monday, September 9 at 1pm Atlantic Time / 12pm Eastern / 11am Central / 10am Mountain / 9am Pacific and closes when capacity is reached; typically, this happens within 1 week. Registration will be processed on a first-come, first-served basis and registrants from CIRTL member institutions or alumni of CIRTL member institutions will receive priority. Once registration closes, all registrants will be notified of their enrollment status.
  
  Registration Link:
  https://uwmadison.zoom.us/meeting/register/tJYoc-CgqTsjE9OYd9jKTmHyNcNBzHsI9hcw#/registration&#160;
  
  
",October 1
Healthy Lawns and Healthy Waters: Bandera County,"Medina Community Library, 13948 State Hwy 16 N., Medina, TX","
  The Texas A&amp;M AgriLife Extension Service Healthy Lawns and Healthy Waters Program will host a residential rainwater harvesting and turf management training Bandera County.
",October 1
Healthy Lawns and Healthy Waters: Bandera County,"Medina Community Library, 13948 State Highway 16 N., Medina, TX","
  The Texas A&amp;M AgriLife Extension Service Healthy Lawns and Healthy Waters program will host a residential rainwater harvesting and turf management training for Bandera County.
",October 1
ASCC Tutoring,"Evans 105: Whitley Suite, Evans Library",,October 1
Pumpkin Spice and Degree Planning with ETID Advisors,Zachry Engineering Education Complex,Attention all ETID students! Bring your laptop and enjoy pumpkin spice while degree planning with your ETID advisors. Presentations will begin every hour.,October 1
Public Service Mixer,Rudder Exhibit Hall,"
  Come by Rudder Exhibit Hall on October 1, 2024, from 2:00 PM - 5:00 PM for the Public Service Mixer! Engage with employers and find employment opportunities.
",October 1
Public Service Mixer,Rudder Exhibit Hall,"
  Come by Rudder Exhibit Hall on October 1, 2024, from 2:00 PM - 5:00 PM for the Public Service Mixer! Engage with employers and find employment opportunities.
",October 1
Public Service Mixer,Rudder Exhibit Hall,"
  Come by Rudder Exhibit Hall on October 1, 2024, from 2:00 PM - 5:00 PM for the Public Service Mixer! Engage with employers and find employment opportunities.
",October 1
Math Learning Center Tutoring,"Evans 204E, Evans Library",,October 1
Lap Pool,,,October 1
ASCC 002,"Evans 204B , Evans Library",,October 1
Ask the Expert Panel: Accounting &amp; Finance,,"
  Virtual Event: tx.ag/expertpaneloct1
",October 1
Ask the Expert Panel: Accounting &amp; Finance,,"
  Virtual Event: tx.ag/expertpaneloct1
",October 1
Ask the Expert Panel: Accounting &amp; Finance,,"
  Virtual Event: tx.ag/expertpaneloct1
",October 1
Microteaching Practice,Zoom,"
  Register Here: https://ers.tamu.edu/event/8325
  
  Facilitators: Michele Vick, Center for Teaching Excellence


  Description: This workshop helps participants enhance their teaching and public speaking skills through microteaching demonstrations delivered in a low-risk environment. Each participant delivers a 5-minute presentation, receiving constructive feedback from a consultant and an undergraduate student on pronunciation, presentation structure, visual aids, nonverbal communication and more. By presenting in front of a friendly audience, participants develop confidence, and by observing peers’ presentations, they gain additional insight into best practices for comprehensible and well-developed presentations.


  Learning Outcomes: Participants will be able to: 1. Construct and deliver short, well-structured and intelligible presentations 2. Create a visual aid to support key points 3. Identify areas for improvement in their own presentations and those of their peers
",October 1
The Origin of the Heaviest Elements,Mitchell Institute for Fundamental Physics &amp; Astronomy,"
  Speaker: Ian Roederer (North Carolina State)
",October 1
CoDHR Office Hours,"Liberal Arts and Arts &amp; Humanities Building,","
  CoDHR Office Hours are for Texas A&amp;M faculty, staff, and students who have questions about CoDHR’s resources and/or are in need of technical assistance on their digital projects.
",October 1
ICF Open,,,October 1
Masters of Science in Supply Chain &amp; Analytics Info Session,,"
  Masters of Science in Supply Chain &amp; Analytics (MS SCAN) Info Session
  
  Learn about MS SCAN degree program details, curriculum, cost, application process, possible career opportunities, etc.
  
  Event is virtual. We will provide the Zoom link the day before the event.
  The registration URL is https://tx.ag/bJ570tp or scan the QR code to register for the event.&#160;
",October 1
Unlocking LinkedIn’s Hidden Power,Virtual,"
  tx.ag/UnlockingOct1
  
  https://tamu.zoom.us/meeting/register/tJMkdOCtqDMqGdO_DPcJ_9PCvZ1lwPnXmjsA
",October 1
Unlocking LinkedIn’s Hidden Power,Virtual,"
  tx.ag/UnlockingOct1
  
  https://tamu.zoom.us/meeting/register/tJMkdOCtqDMqGdO_DPcJ_9PCvZ1lwPnXmjsA
",October 1
Unlocking LinkedIn’s Hidden Power,Virtual,"
  tx.ag/UnlockingOct1
  
  https://tamu.zoom.us/meeting/register/tJMkdOCtqDMqGdO_DPcJ_9PCvZ1lwPnXmjsA
",October 1
State of the Department,Mitchell Institute for Fundamental Physics &amp; Astronomy,"
  This closed event is for faculty, staff, researchers, and graduate students in the Department of Physics and Astronomy only.&#160; It will be a presentation by Dr. Grigory Rogachev, department head, regarding the current status of finances, staffing, awards, etc.
",October 1
POLS 206 &amp; 207 Tutoring (Haney),"108B, Galveston",,October 1
